+-------+--------------+-------+---------------+----------------------------+
|   id  |     name     | level |     class     |            race            |
+-------+--------------+-------+---------------+----------------------------+
| 12524 |    Akito     |   80  |      Воин     |           Эредар           |
| 12525 |    Lious     |   80  |     Друид     |           Гоблин           |
| 12526 |    Кайрен    |   80  |     Шаман     |        Эльф бездны         |
| 12527 |   Огненный   |   80  |     Шаман     |        Эльф бездны         |
| 12528 |  Нереалъная  |   80  | Рыцарь смерти |       Ночнорожденный       |
| 12529 | Dreamkiller  |   80  |  Чернокнижник |           Эредар           |
| 12530 |   Механег    |   80  |      Маг      |           Эредар           |
| 12531 |   Battori    |   80  |    Охотник    |           Эредар           |
| 12532 |    Дотрак    |   80  |    Паладин    |            Орк             |
| 12533 | Zombachevski |   80  |      Жрец     |           Нежить           |
| 12534 |    Kwert     |   80  |      Маг      |           Нежить           |
| 12535 |     Quxs     |   80  |      Жрец     |          Человек           |
| 12536 |    Пачел     |   80  |    Паладин    |          Человек           |
| 12537 |    Dooplo    |   80  |      Воин     |        Эльф бездны         |
| 12538 |    Nefela    |   80  |    Паладин    |         Эльф крови         |
| 12539 |  Basurmanin  |   80  |      Жрец     |           Эредар           |
| 12540 |   Сайберия   |   80  |    Паладин    |        Эльф бездны         |
| 12541 | Ваньхельсинг |   80  | Рыцарь смерти |           Таурен           |
| 12542 |    Агнион    |   80  |    Паладин    |        Эльф бездны         |
| 12543 |    Sereni    |   80  |      Жрец     |           Эредар           |
| 12544 |  Могильщик   |   80  | Рыцарь смерти |         Эльф крови         |
| 12545 |     Vex      |   80  |    Охотник    |        Эльф бездны         |
| 12546 |     Zot      |   80  | Рыцарь смерти |        Ночной эльф         |
| 12547 |   Huangdi    |   80  |  Чернокнижник |            Гном            |
| 12548 |    Mucmuk    |   80  |      Жрец     |          Человек           |
| 12549 |   Vagabond   |   80  |    Паладин    |        Эльф бездны         |
| 12550 |   Vantssa    |   80  |      Жрец     |        Высший эльф         |
| 12551 |    Kutha     |   80  |     Друид     |           Эредар           |
