+-------+--------------+-------+---------------+----------------------------+
|   id  |     name     | level |     class     |            race            |
+-------+--------------+-------+---------------+----------------------------+
| 22953 |    Барнс     |   80  |      Воин     |          Человек           |
| 22954 |    Атедис    |   80  |      Маг      |        Эльф бездны         |
| 22955 | Bratkotamilk |   80  |    Паладин    |            Орк             |
| 22956 |     Rast     |   80  |     Шаман     |           Гоблин           |
| 22957 |  Bothunter   |   80  |     Друид     |       Вульпера(Орда)       |
| 22958 |    Валмет    |   80  |    Охотник    |           Эредар           |
| 22959 |   Русская    |   80  |  Чернокнижник |           Эредар           |
| 22960 |   Shizune    |   80  |  Чернокнижник |           Эредар           |
| 22961 |     Akat     |   80  |     Друид     |        Ночной эльф         |
| 22962 |    Вломлю    |   80  |      Воин     |           Дворф            |
| 22963 |   Sakreyd    |   80  |      Воин     |           Гоблин           |
| 22964 |  Rammstein   |   80  |      Воин     |           Таурен           |
| 22965 |     Agli     |   80  |    Паладин    |          Человек           |
| 22966 |  Блаженный   |   80  |     Шаман     |         Эльф крови         |
| 22967 |    Chill     |   80  |  Чернокнижник |         Эльф крови         |
| 22968 | Angelofdeath |   80  |   Разбойник   |        Ночной эльф         |
| 22969 |    Пончик    |   80  |    Паладин    |           Эредар           |
| 22970 |   Altered    |   80  |  Чернокнижник |        Ночной эльф         |
| 22971 |   Азраилла   |   80  |  Чернокнижник |        Высший эльф         |
| 22972 |    Азога     |   80  |    Паладин    |            Орк             |
| 22973 | Заглотышзол  |   80  |   Разбойник   |            Орк             |
| 22974 |  Paranoiia   |   80  |    Паладин    |         Эльф крови         |
| 22975 |    Sikoy     |   80  |      Маг      |           Эредар           |
| 22976 |   Exstasy    |   80  |     Шаман     |           Эредар           |
| 22977 |   Harmonia   |   80  |      Маг      |      Вульпера(Альянс)      |
| 22978 |   Айронхл    |   80  |    Паладин    |           Дреней           |
| 22979 |   Пельмеша   |   80  |      Жрец     |         Эльф крови         |
| 22980 |  Талибычка   |   80  |    Паладин    |         Эльф крови         |
| 22981 |  Чемоданище  |   80  |    Паладин    |       Пандарен(Орда)       |
| 22982 |     Nero     |   80  |  Чернокнижник |           Нежить           |
| 22983 |    Мясик     |   80  |      Жрец     |           Гоблин           |
| 22984 |    Олежик    |   80  |   Разбойник   |         Эльф крови         |
| 22985 |   Zalmoxis   |   80  |     Друид     |           Ворген           |
| 22986 |  Мельпомена  |   80  |     Шаман     |        Высший эльф         |
| 22987 |     Stik     |   80  |    Паладин    |           Гоблин           |
| 22988 |   Besyaka    |   80  |     Шаман     |        Ночной эльф         |
| 22989 |   Innocent   |   80  |     Друид     |         Эльф крови         |
| 22990 |   Илувшкаф   |   80  |  Чернокнижник |           Эредар           |
| 22991 |    Крагар    |   80  |      Воин     |            Орк             |
| 22992 |   Makelove   |   80  |     Друид     |        Эльф бездны         |
